species,egg_id,clutch,cort,temp,egg_date,egg_mass,egg_length,egg_width,hatch_date,hatch_mass,hatch_svl,hatch_tl,death_date,egg_death,egg_time,hatch_death,death_age,egg_ox
delicata,EG1188_22,CL317_22,B,28,24/10/2022,0.117,7.49,4.7,NA,NA,NA,NA,16/11/2022,died,23,alive,NA,1
delicata,EG1197_22,CL318_22,B,28,24/10/2022,0.153,7.61,5.5,16/11/2022,NA,NA,NA,NA,hatched,23,alive,NA,0
delicata,EG1199_22,CL319_22,A,28,28/10/2022,0.135,8.12,4.77,16/11/2022,NA,NA,NA,NA,hatched,19,alive,NA,0
delicata,EG1200_22,CL319_22,A,23,28/10/2022,0.192,9.02,6.14,NA,NA,NA,NA,13/12/2022,died,46,alive,NA,1
delicata,EG1201_22,CL319_22,B,23,28/10/2022,0.15,7.67,5.49,NA,NA,NA,NA,2/12/2022,died,35,alive,NA,1
delicata,EG1251_22,CL332_22,B,23,2/11/2022,0.148,8.6,5.26,NA,NA,NA,NA,28/11/2022,died,26,alive,NA,1
guichenoti,EG1261_22,CL335_22,B,28,2/11/2022,0.211,9.41,6.38,NA,NA,NA,NA,14/12/2022,died,42,alive,NA,1
guichenoti,EG1294_22,CL347_22,B,28,4/11/2022,0.165,8.58,4.98,NA,NA,NA,NA,5/12/2022,died,31,alive,NA,1
delicata,EG1298_22,CL348_22,A,28,4/11/2022,0.148,8.06,5.21,NA,NA,NA,NA,28/11/2022,died,24,alive,NA,1
delicata,EG1324_22,CL356_22,B,28,7/11/2022,0.167,7.73,5.54,9/12/2022,NA,NA,NA,NA,hatched,32,alive,NA,0
guichenoti,EG1338_22,CL359_22,A,28,7/11/2022,0.19,8.81,5.94,NA,NA,NA,NA,25/11/2022,died,18,alive,NA,1
delicata,EG1342_22,CL361_22,B,23,9/11/2022,0.125,8.36,4.79,9/1/2023,NA,NA,NA,NA,hatched,61,alive,NA,0
guichenoti,EG1357_22,CL364_22,B,28,9/11/2022,0.181,8.22,5.9,NA,NA,NA,NA,2/12/2022,died,23,alive,NA,1
guichenoti,EG1436,CL386_22,A,23,14/11/2022,0.153,8.32,5.18,NA,NA,NA,NA,18/1/2023,died,65,alive,NA,1
guichenoti,EG1440,CL387_22,A,28,16/11/2022,0.245,9.36,5.96,NA,NA,NA,NA,25/11/2022,died,9,alive,NA,1
delicata,EG1519,CL410_22,A,28,25/11/2022,0.143,8.46,4.86,NA,NA,NA,NA,NA,NA,NA,alive,NA,NA
delicata,EG1548,CL417_22,B,23,25/11/2022,0.139,8.17,4.68,NA,NA,NA,NA,20/1/2023,died,56,alive,NA,1
delicata,EG1556,CL421_22,B,28,28/11/2022,0.191,8.59,5.73,NA,NA,NA,NA,4/1/2023,died,37,alive,NA,1
delicata,EG1569,CL425_22,A,28,28/11/2022,0.135,8.61,4.34,NA,NA,NA,NA,16/12/2022,died,18,alive,NA,1
guichenoti,EG1583,CL428_22,B,23,28/11/2022,0.174,7.99,5.72,NA,NA,NA,NA,6/1/2023,died,39,alive,NA,1
guichenoti,EG1584,CL429_22,B,23,28/11/2022,0.187,8.57,5.18,25/1/2023,NA,NA,NA,NA,hatched,58,alive,NA,0
guichenoti,EG1604,CL436_22,B,23,30/11/2022,0.166,9.44,5.55,NA,NA,NA,NA,NA,NA,NA,alive,NA,NA
guichenoti,EG1605,CL437_22,A,23,30/11/2022,0.125,7.02,5,NA,NA,NA,NA,28/12/2022,died,28,alive,NA,1
guichenoti,EG1607,CL437_22,B,23,30/11/2022,0.156,7.95,5.29,25/1/2023,NA,NA,NA,NA,hatched,56,alive,NA,0
guichenoti,EG1612,CL439_22,A,23,30/11/2022,0.196,9.22,5.37,25/1/2023,NA,NA,NA,NA,hatched,56,alive,NA,0
delicata,EG1621,CL440_22,B,28,30/11/2022,0.147,7.21,5.43,NA,NA,NA,NA,4/1/2023,died,35,alive,NA,1
guichenoti,EG1624,CL441_22,B,23,30/11/2022,0.182,8.58,5.69,25/1/2023,NA,NA,NA,NA,hatched,56,alive,NA,0
delicata,EG1625,CL442_22,A,23,30/11/2022,0.12,8.14,4.36,25/1/2023,NA,NA,NA,NA,hatched,56,alive,NA,0
delicata,EG1626,CL442_22,B,23,30/11/2022,0.115,8.16,3.67,25/1/2023,NA,NA,NA,NA,hatched,56,alive,NA,0
guichenoti,EG1631,CL444_22,B,23,2/12/2022,0.244,9.67,6,25/1/2023,NA,NA,NA,NA,hatched,54,alive,NA,0
delicata,EG1632,CL445_22,B,28,2/12/2022,0.159,7.51,5.33,NA,NA,NA,NA,6/1/2023,died,35,alive,NA,1
delicata,EG1639,CL446_22,A,23,2/12/2022,0.197,13.82,4.52,NA,NA,NA,NA,14/12/2022,died,12,alive,NA,1
