Trait,Species,Contrast,Estimate,Est.Error,l-95% CI,u-95% CI,pMCMC
Egg Mortality,L. delicata,"[CORT,28°C] - [CORT,23°C]",0.366,0.003,-0.228,0.946,0.22
Egg Mortality,L. delicata,"[CORT,28°C] - [Control,28°C]",0.696,0.003,0.109,1.328,0.02
Egg Mortality,L. delicata,"[CORT,28°C] - [Control,23°C]",1.062,0.004,0.223,1.913,0.011
Egg Mortality,L. delicata,"[CORT,23°C] - [Control,28°C]",0.33,0.004,-0.507,1.196,0.45
Egg Mortality,L. delicata,"[CORT,23°C] - [Control,23°C]",0.696,0.003,0.109,1.328,0.02
Egg Mortality,L. delicata,"[Control,28°C] - [Control,23°C]",0.366,0.003,-0.228,0.946,0.22
Egg Mortality,L. guichenoti,"[CORT,28°C] - [CORT,23°C]",0.22,0.004,-0.561,1.004,0.578
Egg Mortality,L. guichenoti,"[CORT,28°C] - [Control,28°C]",0.463,0.004,-0.323,1.273,0.25
Egg Mortality,L. guichenoti,"[CORT,28°C] - [Control,23°C]",0.683,0.006,-0.413,1.78,0.215
Egg Mortality,L. guichenoti,"[CORT,23°C] - [Control,28°C]",0.243,0.006,-0.909,1.39,0.663
Egg Mortality,L. guichenoti,"[CORT,23°C] - [Control,23°C]",0.463,0.004,-0.323,1.273,0.25
Egg Mortality,L. guichenoti,"[Control,28°C] - [Control,23°C]",0.22,0.004,-0.561,1.004,0.578
Hatchling Mass,L. delicata,"[CORT,28°C] - [CORT,23°C]",-0.004,0,-0.005,-0.003,0
Hatchling Mass,L. delicata,"[CORT,28°C] - [Control,28°C]",-0.003,0,-0.004,-0.002,0
Hatchling Mass,L. delicata,"[CORT,28°C] - [Control,23°C]",-0.007,0,-0.009,-0.006,0
Hatchling Mass,L. delicata,"[CORT,23°C] - [Control,28°C]",0.001,0,0,0.003,0.12
Hatchling Mass,L. delicata,"[CORT,23°C] - [Control,23°C]",-0.003,0,-0.004,-0.002,0
Hatchling Mass,L. delicata,"[Control,28°C] - [Control,23°C]",-0.004,0,-0.005,-0.003,0
Hatchling Mass,L. guichenoti,"[CORT,28°C] - [CORT,23°C]",-0.003,0,-0.005,-0.001,0.001
Hatchling Mass,L. guichenoti,"[CORT,28°C] - [Control,28°C]",-0.003,0,-0.005,-0.001,0
Hatchling Mass,L. guichenoti,"[CORT,28°C] - [Control,23°C]",-0.006,0,-0.008,-0.004,0
Hatchling Mass,L. guichenoti,"[CORT,23°C] - [Control,28°C]",0,0,-0.002,0.002,0.887
Hatchling Mass,L. guichenoti,"[CORT,23°C] - [Control,23°C]",-0.003,0,-0.005,-0.001,0
Hatchling Mass,L. guichenoti,"[Control,28°C] - [Control,23°C]",-0.003,0,-0.005,-0.001,0.001
